,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
181, 碧桃干 , 统 较广 ,玉林,44.00,缺,0.00%,0.00%,0.00%
182, 佩兰 , 统 较广 ,玉林,4.50,慢,0.00%,0.00%,-10.00%
183, 枇杷叶 , 青统 较广 ,玉林,5.50,平,0.00%,0.00%,-8.33%
184, 枇杷叶 , 黄统 较广 ,玉林,4.00,平,0.00%,0.00%,-11.11%
185, 平贝母 , 小粒 吉林 ,玉林,100.00,平,0.00%,0.00%,-44.44%
186, 平贝母 , 大粒 吉林 ,玉林,65.00,慢,0.00%,0.00%,-40.91%
187, 矮地茶 , 统 较广 ,玉林,8.00,平,0.00%,0.00%,0.00%
188, 蒲公英 , 野生全草 .. ,玉林,9.00,畅,0.00%,0.00%,-18.18%
189, 蜜蜂房 , 统 较广 ,玉林,800.00,缺,0.00%,0.00%,0.00%
190, 蒲黄 , 细粉 较广 ,玉林,60.00,平,0.00%,0.00%,0.00%
191, 蕲蛇 , 净 江西 ,玉林,1750.00,缺,0.00%,0.00%,-5.41%
192, 千层塔 , 大叶 贵州 ,玉林,290.00,平,0.00%,0.00%,0.00%
193, 千金子 , 统 河南 ,玉林,15.00,平,0.00%,0.00%,0.00%
194, 千年健 , 统片 进口 ,玉林,25.00,缺,0.00%,0.00%,-3.85%
195, 千年健 , 统个 进口 ,玉林,24.00,平,0.00%,0.00%,-4.00%
196, 牵牛子 , 黑统 较广 ,玉林,10.00,平,0.00%,0.00%,-9.09%
197, 当归 , 统片 甘肃 ,荷花池,53.00,慢,0.00%,0.00%,-24.29%
198, 当归 , 散把 甘肃 ,荷花池,50.00,慢,0.00%,0.00%,0.00%
199, 党参 , 中条 甘肃 ,荷花池,70.00,慢,0.00%,0.00%,0.00%
200, 党参 , 小条 甘肃 ,荷花池,46.00,慢,0.00%,0.00%,-47.13%
201, 苦地丁 , 统 较广 ,荷花池,6.50,慢,0.00%,0.00%,0.00%
202, 地肤子 , 统货 东北 ,荷花池,16.00,慢,0.00%,0.00%,-15.79%
203, 地骨皮 , 统 较广 ,荷花池,65.00,平,0.00%,0.00%,0.00%
204, 地龙 , 全开 广西 ,荷花池,210.00,慢,0.00%,0.00%,-12.50%
205, 杜仲 , 板皮 西南 ,荷花池,17.00,平,0.00%,0.00%,-5.56%
206, 莪术 , 统片 云南 ,荷花池,14.00,慢,0.00%,0.00%,0.00%
207, 鹅不食草 , 全草 河南 ,荷花池,15.00,平,0.00%,0.00%,-16.67%
208, 防风 , 统 较广 ,荷花池,17.00,慢,0.00%,0.00%,6.25%
209, 防己 , 粉统个 江.. ,荷花池,140.00,平,0.00%,0.00%,-6.67%
210, 佛手 , 统片 四川 ,荷花池,27.00,慢,0.00%,0.00%,-43.75%
211, 茯苓 , 统丁 云南 ,荷花池,24.00,平,0.00%,0.00%,9.09%
212, 茯神 , 统片 湖南 ,荷花池,35.00,平,0.00%,0.00%,0.00%
213, 覆盆子 , 统 浙江 ,荷花池,87.00,慢,0.00%,0.00%,-24.35%
214, 干姜 , 粉统片 云.. ,荷花池,22.00,慢,0.00%,0.00%,4.76%
215, 甘草 , 统片 甘肃 ,荷花池,17.00,慢,0.00%,0.00%,-15.00%
216, 甘松 , 全颗 四川 ,荷花池,46.00,平,0.00%,0.00%,-16.36%
217, 甘遂 , 统 山西 ,荷花池,70.00,慢,0.00%,0.00%,-38.05%
218, 高良姜 , 统个 广东 ,荷花池,15.00,慢,0.00%,0.00%,-6.25%
219, 藁本 , 家统个 新.. ,荷花池,30.00,慢,0.00%,0.00%,-14.29%
220, 葛根 , 柴统块 较.. ,荷花池,7.00,慢,0.00%,0.00%,-12.50%
221, 葛花 , 大花 广西 ,荷花池,20.00,慢,0.00%,0.00%,0.00%
222, 丁香 , 统 进口 ,荷花池,55.00,慢,0.00%,0.00%,-12.70%
223, 川射干 , 统个 贵州 ,荷花池,18.00,慢,0.00%,0.00%,-52.63%
224, 枸杞子 , 280粒 .. ,荷花池,53.00,慢,0.00%,0.00%,-3.64%
225, 藿香 , 统段 四川 ,荷花池,11.00,慢,0.00%,0.00%,0.00%
226, 瓜蒌皮 , 统 四川 ,荷花池,19.00,慢,0.00%,0.00%,-5.00%
227, 瓜蒌子 , 统 四川 ,荷花池,22.00,慢,0.00%,0.00%,-21.43%
228, 绵马贯众 , 统片 东北 ,荷花池,13.00,慢,0.00%,0.00%,8.33%
229, 光慈姑 , 统 较广 ,荷花池,280.00,慢,0.00%,0.00%,12.00%
230, 山豆根 , 统个 广西 ,荷花池,145.00,慢,0.00%,0.00%,-3.33%
231, 广藿香 , 切货 两广 ,荷花池,10.00,慢,0.00%,0.00%,-9.09%
232, 山药 , 无硫马蹄片.. ,荷花池,43.00,慢,0.00%,0.00%,34.38%
233, 肉桂 , 中筒 广西 ,荷花池,16.00,平,0.00%,0.00%,0.00%
234, 小通草 , 统 西南 ,荷花池,145.00,平,0.00%,0.00%,-6.45%
235, 龙眼肉 , 统货 广西 ,荷花池,48.00,慢,0.00%,0.00%,-27.27%
236, 桂枝 , 粒 两广 ,荷花池,5.30,平,0.00%,0.00%,-3.64%
237, 海龙 , 刁海龙 南.. ,荷花池,15000.00,慢,0.00%,0.00%,0.00%
238, 海马 , 平马4克 .. ,荷花池,6000.00,慢,0.00%,0.00%,-14.29%
239, 海螵蛸 , 大统 国产 ,荷花池,45.00,慢,0.00%,0.00%,-6.25%
240, 半夏 , 家统 甘肃 ,荷花池,62.00,慢,0.00%,0.00%,3.33%
